id_conversa;id_cliente;segmento_cliente;arquetipo;perfil_tecnologico;faixa_etaria;idioma;origem;data_hora;canal_entrada;canal_humano;categoria_assunto;produto_relacionado;primeira_mensagem_cliente;sentimento_geral;resolvido_bot;transferencia_iniciada;humano_atendeu;status_conversa;resolvida;area_encaminhada;motivo_transferencia;num_mensagens;num_mensagens_cliente;duracao_seg;csat;qtd_dados_mascarados;transcricao_completa;contatos_previos;reabertura
CONV-009883;CLI-8324B09DDCCD;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 04:35:40;WhatsApp;WhatsApp;Bloqueio TED/PIX;Conta Corrente;My PIX was blocked without notice!;Positivo;False;True;True;Resolvida por humano;Sim;Prevencao a Fraude;Validacao de seguranca;18;8;1971;3.0;1;[01] Cliente: My PIX was blocked without notice! || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? Sorry for the trouble. Blocks happen for security. I'm checking it now. || [03] Cliente: That didn't solve it. I'm really frustrated with this. || [04] Kenzie: I'm checking the details here. || [05] Cliente: And how do we proceed noww? || [06] Kenzie: Got the info, just a second. || [07] Cliente: i see, and then? || [08] Kenzie: I'll transfer you to a human agent, one moment. || [09] Atendente Humano: Hi, I'm from the specialist team, I'll handle this. || [10] Cliente: It stilll doesn't work. This is unacceptable. My email is [EMAIL]. || [11] Atendente Humano: I've checked part of it, one more moment. || [12] Cliente: I see, and then? || [13] Atendente Humano: I've checked part of it, one more moment. || [14] Cliente: That didn't solve it.. Third time I try, losing my patience. || [15] Atendente Humano: Let me check that in the system, one moment. || [16] Atendente Humano: Fixed your case manually, resolved. || [17] Cliente: Great, thhank u! 😊 || [18] Atendente Humano: Anything else you need?;0;False
CONV-022080;CLI-81AD6700C858;Correntista Nacional;Nacional Pratico;medio;adulto;PT;Receptivo;2026-02-17 05:36:21;WhatsApp;;Onboarding - Documentacao;Conta Corrente;Meu comprovante de residencia foi recusado no cadastro.;Negativo;False;False;False;Encerrada sem resolucao;Nao;;;6;3;132;;0;[01] Cliente: Meu comprovante de residencia foi recusado no cadastro. || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Para o cadastro aceitamos documento oficial com foto e comprovante recente. Posso verificar seu envio. || [03] Cliente: E agora, como prosseguimos? || [04] Kenzie: Ja localizei seu cadastro, um instante. || [05] Cliente: Certo, mas continuo insatisfeito. Isso e um absurdo. || [06] Kenzie: Sinto muito por nao resolver por aqui. Estou a disposicao.;0;False
CONV-002815;CLI-7F31ACC6E710;CDE;Expat Code-Switcher;alto;jovem;PT;Ativo;2026-02-17 06:50:00;WhatsApp;;Alteracao de Limites;Conta Corrente;Meu limite de PIX caiu de repente. Que servico pessimo, decepcionante. 😞;Positivo;True;False;False;Resolvida pelo bot;Sim;;;12;5;440;5.0;1;[01] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Temos novidades sobre o seu CDB, quer saber mais? || [02] Cliente: Meu limite de PIX caiu de repente. Que servico pessimo, decepcionante. 😞 || [03] Kenzie: Posso mostrar seus limites atuais e registrar um pedido de ajuste. || [04] Kenzie: Desculpe, acho que nao entendi. Voce quer falar sobre cartao de credito? || [05] Cliente: Nao, nao e sobre isso. || [06] Kenzie: Posso mostrar seus limites atuais e registrar um pedido de ajuste. || [07] Cliente: [audio transcrito] Continua sem funcionar. Isso e um absurdo. 😞 Minha conta e [CONTA]. || [08] Kenzie: Consegui puxar a informacao, so um momento. || [09] Cliente: Entendi, e depois ddisso? || [10] Kenzie: Ja localizei seu cadastro, um instante. || [11] Cliente: otimo, muito obrigado! || [12] Kenzie: Resolvido! Qualquer coisa, e so chamar.;0;False
CONV-015014;CLI-97D0D2C4A17E;CDE;Formal/Premium;medio;adulto;EN;Ativo;2026-02-17 08:00:11;WhatsApp;;Disparo Ativo;;I don't want to receive these messages anymore.;Negativo;False;False;False;Opt-out / descadastro;Nao aplicavel;;;3;1;50;;0;[01] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. We have a special FX rate for you today! || [02] Cliente: I don't want to receive these messages anymore. || [03] Kenzie: No problem, I'll remove you from our messages. Sorry for the inconvenience.;0;False
CONV-010440;CLI-A0D148482AB5;Correntista Nacional;Nacional Pratico;medio;adulto;PT;Receptivo;2026-02-17 08:06:35;WhatsApp;Telefone;Alteracao de Limites;Conta Corrente;Qual e o meu limite atual?;Negativo;False;True;True;Transferida - sem resolucao;Nao;Mesa de Limites;Excecao de regra de negocio;12;5;1123;1.0;0;"[01] Cliente: Qual e o meu limite atual? || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Posso mostrar seus limites atuais e registrar um pedido de ajuste. || [03] Cliente: Entendi, e depois disso? || [04] Kenzie: Estou checando os detalhes aqui. || [05] Cliente: Continua sem funcionar. Isso e um absurdo. || [06] Kenzie: Vou te transferir para um atendente humano, um momento. || [07] Atendente Humano: Oi, sou do time de especialistas, vou cuidar disso. || [08] Cliente: Isso nao resolveu, continua igual. Isso e um absurdo. || [09] Atendente Humano: Consultando a area responsavel aqui. || [10] Atendente Humano: Encaminhei para a area de Mesa de Limites; retornaremos em ate 48h. || [11] Cliente: Ok... vou aguardar entao. Isso e um absurdo. || [12] Atendente Humano: Qualquer duvida, e so voltar a falar comigo.";0;False
CONV-035881;CLI-C77F688E557F;Correntista Nacional;Risco de Churn;medio;adulto;PT;Receptivo;2026-02-17 08:08:04;WhatsApp;E-mail;Investimentos CDB;CDB;Qual a diferenca entre CDB prefixado e pos-fixado?;Negativo;False;True;True;Transferida - sem resolucao;Nao;Investimentos;Excecao de regra de negocio;16;7;1166;;1;"[01] Cliente: Qual a diferenca entre CDB prefixado e pos-fixado? || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Oferecemos CDB Prefixado, Pos-fixado e IPCA. Posso comparar os rendimentos. || [03] Cliente: E agora, como prosseguimos? || [04] Kenzie: Estou checando os detalhes aqui. || [05] Cliente: Ainda estou com o mesmo problema. Que servico pessimo, decepcionante. Minha conta e [CONTA]. || [06] Kenzie: Consegui puxar a informacao, so um momento. || [07] Cliente: E agora, como prosseguimos? || [08] Kenzie: Consegui puxar a informacao, so um momento. || [09] Cliente: Isso nao resolveu, continua igual. Estou muito insatisfeito com o banco. || [10] Kenzie: Esse caso precisa de um especialista humano, ja vou transferir. || [11] Atendente Humano: Ola, aqui e o atendimento humano. Assumi seu caso e vou ajudar. || [12] Cliente: Isso nao resolveu, continua igual. Preciso disso resolvido com urgencia. || [13] Atendente Humano: Estou analisando o seu caso agora. || [14] Atendente Humano: Precisa de analise da area de Investimentos; abri um chamado. || [15] Cliente: Ta, obrigado mesmo assim. Ja e a terceira vez que tento, perdendo a paciencia. || [16] Atendente Humano: Precisa de mais alguma coisa?";0;False
CONV-007079;CLI-CCAC3D26EB1F;Correntista Nacional;Nacional Pratico;medio;adulto;PT;Ativo;2026-02-17 08:20:57;WhatsApp;;Disparo Ativo;;;Neutro;False;False;False;Sem resposta (disparo ativo);Nao aplicavel;;;1;0;0;;0;[01] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Lembrete: atualize seu cadastro para manter sua conta ativa.;0;False
CONV-035559;CLI-1153A6E4B857;CDE;Expat Digital;alto;jovem;PT;Ativo;2026-02-17 08:42:15;WhatsApp;;Disparo Ativo;;nao quero mais receber essas mensagens. 😠;Negativo;False;False;False;Opt-out / descadastro;Nao aplicavel;;;3;1;61;;0;[01] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Lembrete: atualize seu cadastro para manter sua conta ativa. || [02] Cliente: nao quero mais receber essas mensagens. 😠 || [03] Kenzie: Sem problemas, vou remover voce dos disparos. Desculpe o incomodo.;0;False
CONV-015801;CLI-B4618EE2378B;CDE;Nao Residente Senior;baixo;idoso;EN;Ativo;2026-02-17 08:50:02;WhatsApp;;Disparo Ativo;;;Neutro;False;False;False;Sem resposta (disparo ativo);Nao aplicavel;;;1;0;0;;0;[01] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. Your card statement is ready, can I help with anything?;0;False
CONV-005849;CLI-B8D1B1E2D7BA;CDE;Nao Residente Senior;baixo;idoso;EN;Ativo;2026-02-17 08:53:45;WhatsApp;;Disparo Ativo;;;Neutro;False;False;False;Sem resposta (disparo ativo);Nao aplicavel;;;1;0;0;;0;[01] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. We have news about your CDB, want to know more?;0;False
CONV-019195;CLI-37CF38A25EA1;CDE;Nao Residente Senior;baixo;idoso;PT;Ativo;2026-02-17 10:23:34;WhatsApp;;Disparo Ativo;;[foto anexada] Descadastra meu numero dessas ofertas.;Negativo;False;False;False;Opt-out / descadastro;Nao aplicavel;;;3;1;97;;0;[01] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Sua fatura do cartao fechou, posso ajudar com algo? || [02] Cliente: [foto anexada] Descadastra meu numero dessas ofertas. || [03] Kenzie: Sem problemas, vou remover voce dos disparos. Desculpe o incomodo.;0;False
CONV-034194;CLI-7AD91D60356A;CDE;Risco de Churn;medio;adulto;PT;Receptivo;2026-02-17 14:53:08;WhatsApp;;Ruido / Nao-atendimento;;Ja deu certo, obrigado!;Positivo;False;False;False;Cliente ja havia resolvido;Nao aplicavel;;;2;1;12;;0;[01] Cliente: Ja deu certo, obrigado! || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Tudo bem! Estou por aqui se precisar.;0;False
CONV-012350;CLI-9CC312D5C27B;CDE;Nao Residente Senior;baixo;idoso;PT;Receptivo;2026-02-17 16:32:15;WhatsApp;;Ruido / Nao-atendimento;;Deixa pra la, ja resolvi sozinho.;Positivo;False;False;False;Cliente ja havia resolvido;Nao aplicavel;;;2;1;5;;0;[01] Cliente: Deixa pra la, ja resolvi sozinho. || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Tudo bem! Estou por aqui se precisar.;0;False
CONV-022124;CLI-33122F6F5886;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 17:49:17;WhatsApp;;Ruido / Nao-atendimento;;? 🙂;Neutro;False;False;False;Contato sem contexto (oi/teste);Nao aplicavel;;;2;1;10;;0;[01] Cliente: ? 🙂 || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? All good! I'm here if you need me.;0;False
CONV-004777;CLI-484E13CA8D49;CDE;Expat Digital;alto;jovem;EN;Receptivo;2026-02-17 17:53:54;WhatsApp;;Ruido / Nao-atendimento;;Never mind, I already solved it. 🙏;Positivo;False;False;False;Cliente ja havia resolvido;Nao aplicavel;;;3;2;61;;0;[01] Cliente: Never mind, I already solved it. 🙏 || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? All good! I'm here if you need me. || [03] Cliente: thanks!;0;False
CONV-012525;CLI-E0F59FCFDD0D;CDE;Expat Digital;alto;jovem;PT;Receptivo;2026-02-17 18:29:14;WhatsApp;;Ruido / Nao-atendimento;;Ops, chamei sem quererr, desculpe. 🙂;Positivo;False;False;False;Ruido - contato por engano;Nao aplicavel;;;3;2;71;;0;[01] Cliente: Ops, chamei sem quererr, desculpe. 🙂 || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Sem problemas! Se precisar de algo, e so chamar. || [03] Cliente: Obrigado! 🙏;0;False
CONV-023954;CLI-DA52BE2A24B6;CDE;Expat Digital;alto;jovem;PT;Receptivo;2026-02-17 18:48:54;WhatsApp;;Ruido / Nao-atendimento;;testando 🙂;Positivo;False;False;False;Contato sem contexto (oi/teste);Nao aplicavel;;;3;2;50;;0;[01] Cliente: testando 🙂 || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Tudo bem! Estou por aqui se precisar. || [03] Cliente: [foto anexada] Obrigado!;0;False
CONV-000155;CLI-9EBE44F9F140;Correntista Nacional;Nacional Jovem Digital;alto;jovem;PT;Receptivo;2026-02-17 19:22:32;WhatsApp;;Ruido / Nao-atendimento;;Foi engano, pode ignorar.;Neutro;False;False;False;Ruido - contato por engano;Nao aplicavel;;;2;1;10;;0;[01] Cliente: Foi engano, pode ignorar. || [02] Kenzie: Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Tudo bem! Estou por aqui se precisar.;0;False
CONV-006299;CLI-5FB6178CAC76;CDE;Nao Residente Senior;baixo;idoso;EN;Receptivo;2026-02-17 19:24:11;WhatsApp;;Ruido / Nao-atendimento;;Good morning. Hi;Positivo;False;False;False;Contato sem contexto (oi/teste);Nao aplicavel;;;3;2;59;;0;[01] Cliente: Good morning. Hi || [02] Kenzie: Hello! I'm Kenzie, the bank's virtual assistant. How can I help? All good! I'm here if you need me. || [03] Cliente: [audio transcrito] Thanks!;0;False
CONV-024340;CLI-23975CC718D7;CDE;Alta Renda/Private;medio;adulto;ES;Receptivo;2026-02-18 00:23:19;WhatsApp;;Ruido / Nao-atendimento;;Fue un error, ignoralo.;Neutro;False;False;False;Ruido - contato por engano;Nao aplicavel;;;2;1;7;3.0;0;[01] Cliente: Fue un error, ignoralo. || [02] Kenzie: Hola! Soy Kenzie, asistente virtual del banco. Como puedo ayudar? Sin problema! Si necesitas algo, avisame.;0;False
